price,area,bedRoom,bathroom,balcony,floorNum,log_price,others,pooja room,servant room,store room,study room,Environment,Lifestyle,Connectivity,Safety,Wardrobe,Fan,Exhaust Fan,Geyser,Light,Modular Kitchen,AC,Chimney,Bed,Curtains,Dining Table,Microwave,Fridge,Sofa,Stove,TV,Washing Machine,Water Purifier,facing_East,facing_North,facing_North-East,facing_North-West,facing_South,facing_South-East,facing_South-West,facing_West,agePossession_0 to 1 Year Old,agePossession_1 to 5 Year Old,agePossession_10+ Year Old,agePossession_5 to 10 Year Old,agePossession_By 2024,agePossession_By 2027,agePossession_Dec 2023,agePossession_Dec 2024,agePossession_Jan 2024,agePossession_Jun 2024,agePossession_Oct 2023,agePossession_Oct 2024,agePossession_Under Construction,agePossession_Within 3 months,agePossession_Within 6 months
12.0,3150.0,5,6,4,3.0,2.5649493574615367,0,0,1,1,0,3,4,4,4,0,0,1,0,0,1,8,1,0,0,0,0,0,0,0,0,0,0,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
8.4,3240.0,4,4,3,2.0,2.2407096892759584,0,1,1,0,0,4,4,5,4,4,8,1,5,18,1,0,1,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
8.5,3240.0,4,4,2,2.75978835978836,2.2512917986064953,0,1,1,1,0,4,4,5,4,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
7.6,1961.0,9,9,3,4.0,2.151762203259462,0,1,0,1,1,5,5,5,5,9,9,1,9,20,1,9,0,0,1,0,1,0,0,1,0,0,1,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
7.0,2700.0,5,5,4,3.0,2.0794415416798357,0,1,1,0,1,5,5,5,5,20,11,1,7,32,1,11,1,0,0,0,0,0,0,1,0,0,0,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
4.75,5067.0,5,5,1,1.0,1.749199854809259,0,1,1,0,1,5,5,5,5,16,9,1,4,21,1,5,1,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
3.5,2610.0,9,9,4,3.0,1.5040773967762742,0,0,0,0,1,4,4,4,4,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
5.0,2367.0,9,9,4,3.0,1.791759469228055,0,0,1,1,0,4,4,4,4,10,21,1,9,56,1,11,0,0,0,0,0,0,0,0,0,1,0,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
10.56,3240.0,5,5,3,3.0,2.4475508632442313,0,0,1,0,0,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
5.46,2259.0,4,5,4,2.0,1.8656293177945105,0,1,0,1,1,0,0,0,0,5,8,1,4,16,1,5,1,0,1,0,0,0,0,1,0,0,0,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
